,symbol
1281,FYP
1282,MIB
1283,BBO
1284,HLM
1285,MONK
1286,FJC
1287,PTOY
1288,IFOOD
1289,DOPE
1290,PUB
1291,DOW
1292,XMG
1293,3DC
1294,LDOGE
1295,BTB
1296,ETHO
1297,ECOM
1298,USC
1299,GAT
1300,C8
1301,DEV
1302,OPTI
1303,SWYFTT
1304,BITX
1305,STQ
1306,BLUE
1307,KEK
1308,FDX
1309,ABDT
1310,ARTIS
1311,XGM
1312,DYNMT
1313,RAISE
1314,THRT
1315,TROLL
1316,MSR
1317,SEND
1318,GRFT
1319,VRM
1320,ONG
1321,GUP
1322,SFX
1323,TSL
1324,BNTY
1325,ZUM
1326,KUBO
1327,VIEW
1328,SNTR
1329,ALB
1330,SWT
1331,NIO
1332,ESZ
1333,CBIX
1334,PAL
1335,CYBR
1336,VNX
1337,S
1338,IXT
1339,SVD
1340,DAY
1341,ZEIT
1342,DTH
1343,ZENI
1344,DGC
1345,DML
1346,BITC
1347,FRC
1348,LCP
1349,EUNO
1350,RCT
1351,IDXM
1352,WLO
1353,TDP
1354,HSN
1355,EGC
1356,BUZZ
1357,BWK
1358,AC3
1359,MAX
1360,ZMN
1361,SRK
1362,IOG
1363,OOT
1364,MORE
1365,WISH
1366,ADL
1367,HGT
1368,ENRG
1369,PDATA
1370,NAVY
1371,HNB
1372,ETHM
1373,NETKO
1374,EBST
1375,BELA
1376,MMO
1377,SCR
1378,XNK
1379,BTCF
1380,CATT
1381,ECTE
1382,MFC
1383,B@
1384,PAK
1385,DAV
1386,ZET
1387,TIX
1388,XDNA
1389,TRAK
1390,BCI
1391,CREDIT
1392,TYPE
1393,BCS
1394,TAG
1395,NCP
1396,ABX
1397,POSW
1398,ZCR
1399,MNC
1400,POLL
1401,LFC
1402,GZRO
1403,BITS
1404,EQL
1405,CRAD
1406,SSC
1407,BON
1408,FSBT
1409,RUP
1410,BSD
1411,RVT
1412,ARCO
1413,SDS
1414,UNI
1415,CRED
1416,TEAM
1417,BEZ
1418,DEAL
1419,BYT
1420,ATMI
1421,ADI
1422,BRO
1423,WEC
1424,ACED
1425,TENA
1426,EMD
1427,OLXA
1428,INF
1429,SCT
1430,EVE
1431,CIV
1432,LANA
1433,ESN
1434,LION
1435,SNRG
1436,PHO
1437,BITEUR
1438,BIRD
1439,CCRB
1440,V
1441,BCZ
1442,BOLI
1443,CSTL
1444,NPLC
1445,VSF
1446,ADH
1447,EVED
1448,PAR
1449,PCN
1450,GXX
1451,SDA
1452,REX
1453,DUO
1454,VIP
1455,PIX
1456,UNI
1457,PUT
1458,BETHER
1459,RMESH
1460,COB
1461,WAND
1462,PWR
1463,START
1464,KZC
1465,VULC
1466,XQR
1467,WBL
1468,BEN
1469,MYB
1470,VOISE
1471,METM
1472,BECN
1473,SPX
1474,UNIFY
1475,BLU
1476,TBX
1477,POP
1478,ATX
1479,PTC
1480,ITT
1481,SNPC
1482,TNS
1483,AOG
1484,CBM
1485,SRCOIN
1486,FRST
1487,PRX
1488,GIN
1489,WGO
1490,BTDX
1491,TRUMP
1492,GFUN
1493,WBET
